"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","All socio-economic groups","Persons at work","Number","1719"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","All socio-economic groups","All unemployed persons","Number","112"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","21222"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","A. Employers and managers","All persons aged 15 years and over","Number","3367"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","A. Employers and managers","Persons at work","Number","347"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","A. Employers and managers","All unemployed persons","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","3010"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","B. Higher professional","All persons aged 15 years and over","Number","1079"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","B. Higher professional","Persons at work","Number","175"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","B. Higher professional","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","B. Higher professional","All persons aged 15 years and over not in labour force","Number","903"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","C. Lower professional","All persons aged 15 years and over","Number","2176"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","C. Lower professional","Persons at work","Number","188"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","C. Lower professional","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1984"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","D. Non-manual","All persons aged 15 years and over","Number","4502"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","D. Non-manual","Persons at work","Number","304"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","D. Non-manual","All unemployed persons","Number","14"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","D. Non-manual","All persons aged 15 years and over not in labour force","Number","4184"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","E. Manual skilled","All persons aged 15 years and over","Number","2850"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","E. Manual skilled","Persons at work","Number","108"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","E. Manual skilled","All unemployed persons","Number","16"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","2726"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","F. Semi-skilled","All persons aged 15 years and over","Number","2033"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","F. Semi-skilled","Persons at work","Number","162"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","F. Semi-skilled","All unemployed persons","Number","14"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1857"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","G. Unskilled","All persons aged 15 years and over","Number","987"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","G. Unskilled","Persons at work","Number","44"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","G. Unskilled","All unemployed persons","Number","7"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","G. Unskilled","All persons aged 15 years and over not in labour force","Number","936"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","H. Own account workers","All persons aged 15 years and over","Number","1027"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","H. Own account workers","Persons at work","Number","279"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","H. Own account workers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","H. Own account workers","All persons aged 15 years and over not in labour force","Number","744"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","I. Farmers","All persons aged 15 years and over","Number","113"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","I. Farmers","Persons at work","Number","15"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","I. Farmers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","I. Farmers","All persons aged 15 years and over not in labour force","Number","97"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","J. Agricultural workers","All persons aged 15 years and over","Number","37"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","J. Agricultural workers","Persons at work","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","J. Agricultural workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","35"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","4882"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","Z. All others gainfully occupied and unknown","Persons at work","Number","96"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","Z. All others gainfully occupied and unknown","All unemployed persons","Number","40"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","South Dublin","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","4746"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","All socio-economic groups","All persons aged 15 years and over","Number","16656"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","All socio-economic groups","Persons at work","Number","1519"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","All socio-economic groups","All unemployed persons","Number","86"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","15051"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","A. Employers and managers","All persons aged 15 years and over","Number","2045"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","A. Employers and managers","Persons at work","Number","304"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","A. Employers and managers","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1735"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","B. Higher professional","All persons aged 15 years and over","Number","582"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","B. Higher professional","Persons at work","Number","157"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","B. Higher professional","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","B. Higher professional","All persons aged 15 years and over not in labour force","Number","421"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","C. Lower professional","All persons aged 15 years and over","Number","1355"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","C. Lower professional","Persons at work","Number","107"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","C. Lower professional","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1244"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","D. Non-manual","All persons aged 15 years and over","Number","2623"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","D. Non-manual","Persons at work","Number","186"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","D. Non-manual","All unemployed persons","Number","12"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","D. Non-manual","All persons aged 15 years and over not in labour force","Number","2425"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","E. Manual skilled","All persons aged 15 years and over","Number","1571"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","E. Manual skilled","Persons at work","Number","79"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","E. Manual skilled","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1488"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","F. Semi-skilled","All persons aged 15 years and over","Number","1207"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","F. Semi-skilled","Persons at work","Number","95"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","F. Semi-skilled","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1108"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","G. Unskilled","All persons aged 15 years and over","Number","826"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","G. Unskilled","Persons at work","Number","33"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","G. Unskilled","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","G. Unskilled","All persons aged 15 years and over not in labour force","Number","790"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","H. Own account workers","All persons aged 15 years and over","Number","618"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","H. Own account workers","Persons at work","Number","153"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","H. Own account workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","H. Own account workers","All persons aged 15 years and over not in labour force","Number","464"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","I. Farmers","All persons aged 15 years and over","Number","1019"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","I. Farmers","Persons at work","Number","319"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","I. Farmers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","I. Farmers","All persons aged 15 years and over not in labour force","Number","696"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","J. Agricultural workers","All persons aged 15 years and over","Number","278"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","J. Agricultural workers","Persons at work","Number","14"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","J. Agricultural workers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","264"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","4532"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","Z. All others gainfully occupied and unknown","Persons at work","Number","72"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","Z. All others gainfully occupied and unknown","All unemployed persons","Number","44"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kildare","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","4416"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","All socio-economic groups","All persons aged 15 years and over","Number","11690"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","All socio-economic groups","Persons at work","Number","1204"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","All socio-economic groups","All unemployed persons","Number","42"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","10444"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","A. Employers and managers","All persons aged 15 years and over","Number","1110"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","A. Employers and managers","Persons at work","Number","154"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","A. Employers and managers","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","953"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","B. Higher professional","All persons aged 15 years and over","Number","359"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","B. Higher professional","Persons at work","Number","88"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","B. Higher professional","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","B. Higher professional","All persons aged 15 years and over not in labour force","Number","270"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","C. Lower professional","All persons aged 15 years and over","Number","1157"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","C. Lower professional","Persons at work","Number","62"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","C. Lower professional","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1093"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","D. Non-manual","All persons aged 15 years and over","Number","1426"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","D. Non-manual","Persons at work","Number","105"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","D. Non-manual","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","D. Non-manual","All persons aged 15 years and over not in labour force","Number","1318"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","E. Manual skilled","All persons aged 15 years and over","Number","1048"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","E. Manual skilled","Persons at work","Number","43"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","E. Manual skilled","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1001"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","F. Semi-skilled","All persons aged 15 years and over","Number","780"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","F. Semi-skilled","Persons at work","Number","56"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","F. Semi-skilled","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","721"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","G. Unskilled","All persons aged 15 years and over","Number","564"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","G. Unskilled","Persons at work","Number","15"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","G. Unskilled","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","G. Unskilled","All persons aged 15 years and over not in labour force","Number","545"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","H. Own account workers","All persons aged 15 years and over","Number","435"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","H. Own account workers","Persons at work","Number","101"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","H. Own account workers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","H. Own account workers","All persons aged 15 years and over not in labour force","Number","332"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","I. Farmers","All persons aged 15 years and over","Number","1785"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","I. Farmers","Persons at work","Number","516"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","I. Farmers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","I. Farmers","All persons aged 15 years and over not in labour force","Number","1269"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","J. Agricultural workers","All persons aged 15 years and over","Number","216"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","J. Agricultural workers","Persons at work","Number","11"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","J. Agricultural workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","204"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","2810"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","Z. All others gainfully occupied and unknown","Persons at work","Number","53"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","Z. All others gainfully occupied and unknown","All unemployed persons","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Kilkenny","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","2738"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","All socio-economic groups","All persons aged 15 years and over","Number","8100"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","All socio-economic groups","Persons at work","Number","801"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","All socio-economic groups","All unemployed persons","Number","30"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","7269"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","A. Employers and managers","All persons aged 15 years and over","Number","636"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","A. Employers and managers","Persons at work","Number","102"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","A. Employers and managers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","533"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","B. Higher professional","All persons aged 15 years and over","Number","170"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","B. Higher professional","Persons at work","Number","43"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","B. Higher professional","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","B. Higher professional","All persons aged 15 years and over not in labour force","Number","127"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","C. Lower professional","All persons aged 15 years and over","Number","735"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","C. Lower professional","Persons at work","Number","39"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","C. Lower professional","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","C. Lower professional","All persons aged 15 years and over not in labour force","Number","694"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","D. Non-manual","All persons aged 15 years and over","Number","805"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","D. Non-manual","Persons at work","Number","56"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","D. Non-manual","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","D. Non-manual","All persons aged 15 years and over not in labour force","Number","746"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","E. Manual skilled","All persons aged 15 years and over","Number","690"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","E. Manual skilled","Persons at work","Number","26"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","E. Manual skilled","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","661"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","F. Semi-skilled","All persons aged 15 years and over","Number","435"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","F. Semi-skilled","Persons at work","Number","30"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","F. Semi-skilled","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","403"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","G. Unskilled","All persons aged 15 years and over","Number","387"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","G. Unskilled","Persons at work","Number","15"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","G. Unskilled","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","G. Unskilled","All persons aged 15 years and over not in labour force","Number","370"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","H. Own account workers","All persons aged 15 years and over","Number","294"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","H. Own account workers","Persons at work","Number","59"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","H. Own account workers","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","H. Own account workers","All persons aged 15 years and over not in labour force","Number","232"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","I. Farmers","All persons aged 15 years and over","Number","1284"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","I. Farmers","Persons at work","Number","372"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","I. Farmers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","I. Farmers","All persons aged 15 years and over not in labour force","Number","912"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","J. Agricultural workers","All persons aged 15 years and over","Number","168"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","J. Agricultural workers","Persons at work","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","J. Agricultural workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","158"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","2496"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","Z. All others gainfully occupied and unknown","Persons at work","Number","50"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","Z. All others gainfully occupied and unknown","All unemployed persons","Number","13"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Laois","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","2433"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","All socio-economic groups","All persons aged 15 years and over","Number","4883"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","All socio-economic groups","Persons at work","Number","506"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","All socio-economic groups","All unemployed persons","Number","29"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","4348"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","A. Employers and managers","All persons aged 15 years and over","Number","341"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","A. Employers and managers","Persons at work","Number","46"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","A. Employers and managers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","294"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","B. Higher professional","All persons aged 15 years and over","Number","108"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","B. Higher professional","Persons at work","Number","20"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","B. Higher professional","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","B. Higher professional","All persons aged 15 years and over not in labour force","Number","88"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","C. Lower professional","All persons aged 15 years and over","Number","463"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","C. Lower professional","Persons at work","Number","28"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","C. Lower professional","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","C. Lower professional","All persons aged 15 years and over not in labour force","Number","435"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","D. Non-manual","All persons aged 15 years and over","Number","479"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","D. Non-manual","Persons at work","Number","32"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","D. Non-manual","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","D. Non-manual","All persons aged 15 years and over not in labour force","Number","441"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","E. Manual skilled","All persons aged 15 years and over","Number","421"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","E. Manual skilled","Persons at work","Number","24"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","E. Manual skilled","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","397"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","F. Semi-skilled","All persons aged 15 years and over","Number","283"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","F. Semi-skilled","Persons at work","Number","28"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","F. Semi-skilled","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2011","65 years and over","Longford","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","255"
